# 分批装机计划（进仓库）。生成脚本：data/scratch-batches.py
# 原则：**不可逆性优先** —— 影响世界生成的（群系扩充 / 结构 / 据点结构）必须在**建世界之前**装完，
#   因为 Terralith 装了就不能从已有世界增删；其余按时代主菜排。
# 用法：python tools/apply_modlist.py --verify --batch <N> --apply
# 字段：批次 <TAB> slug <TAB> 来源(mr|cf) <TAB> 功能位
# ── 批 0 · 批 0·已装地基（性能组 + OPAC + Create + YBD，已在实例里跑过） ──
0	embeddium	mr	渲染优化
0	lithium	mr	服务端逻辑
0	ferrite-core	mr	内存
0	modernfix	mr	加载与修复
0	entityculling	mr	实体剔除
0	immediatelyfast	mr	界面即时渲染
0	clumps	mr	经验球合并
0	servercore	mr	服务端通用
0	neruina	mr	崩溃守护
0	spark	mr	诊断
0	chunky	mr	预生成
0	moreculling	mr	区块剔除
0	scalablelux	mr	光照
0	yungs-better-dungeons	mr	结构·地牢
0	open-parties-and-claims	mr	领地/队伍/权限
0	create	mr	自动化核心（含列车与物流）
# ── 批 1 · 地基：不可逆的世界生成 + 引擎 + 性能 + 中文化 + 运维 ──
1	terralith	mr	群系与地形
1	lithostitched	mr	世界生成兼容库（Terralith 前置）
1	roadweaver	mr	世界路网
1	jei	mr	配方查询
1	jade	mr	方块与实体信息
1	crash-assistant	mr	崩溃可读提示
1	paxi	mr	数据包自动加载
1	patchouli	mr	约定与国史载体
1	badoptimizations	mr	20 包·性能优化（★ 我们性能组里漏了这个 20 包共识项）
1	dynamic-fps	mr	25 包·后台自动降帧（★ 25 包共识的性能/QoL 项）
1	noisium	mr	11 包·世界生成性能（配合 Terralith 的世界生成开销）
1	put-a-plug-in-it!	mr	性能·内存泄漏修复（轻量、低风险，长线服值得）
1	i18nupdatemod	mr	中文化·自动汉化更新（CF；ATM10 实证 I18nUpdateMod-3.7.0-all.jar）
1	justenoughcharacters	mr	生活质量·拼音搜索（中文玩家搜英文物品名的刚需，直接服务中文化）｜slug 已修正（原 jecharacters）：MR：JustEnoughCharacters，13 个 1.21.1+neoforge 版本；它的 jar 名恰好叫 jecharacters-*（这就是混淆来源）
1	imblocker-original	mr	界面·输入法冲突修复（中文玩家刚需，与本包 zh_cn 侧重一致）
1	polyglottooltip	cf	CF·界面·提示框补多语言名称行（缓解未汉化 mod 的阅读问题）
1	grieflogger	mr	方块改动记录
1	glra	mr	回滚命令
1	simple-backups	mr	备份
1	chunk-plan	cf	CF·治理·服务端探索配额（对应远征半径与服务器资源控制）
1	just-enough-resources-jer	mr	CF·JER 资源分布（JEI 的经典搭档：矿石/生物分布查询）
1	ftb-library-forge	cf	任务书前置（CF；★ slug 必须是 CF 的 `-forge` 形式，否则 packwiz curseforge add 会失败）
1	ftb-teams-forge	cf	任务书依赖·团队（CF；同上）
1	ftb-quests-forge	cf	任务书载体（CF；同上）
1	ftb-xmod-compat	cf	FTB 跨 mod 兼容（CF）
1	ftb-jei-extras	cf	JEI 扩展（CF）
1	ftb-filter-system	cf	物品过滤（CF）
1	ftb-quests-optimizer	cf	CF·FTB Quests 性能优化（★ 我们已定用 FTB Quests）
1	ftb-quests-lang-splitter	cf	CF·FTB Quests 文本拆分（★ 中文化要用到——ATM10 汉化补丁里就有它）
1	extraquests	mr	CF·FTB Quests 扩展任务类型
